Runtime:122751
Cache size,Miss Rate
8196,0.949507
12294,0.940465
16392,0.929916
32784,0.862366
33808,0.854533
34833,0.849297
36882,0.845542
40980,0.831951
49176,0.80671
65568,0.746607
131136,0.729587
