Runtime:2473528
Cache size,Miss Rate
8192,1
16384,1
24576,1
32768,1
40960,1
49152,1
57344,1
65536,1
73728,1
81920,1
90112,1
98304,1
106496,1
114688,1
122880,1
131072,0.25
139264,0.25
147456,0.25
155648,0.25
163840,0.25
172032,0.25
180224,0.25
188416,0.25
196608,0.25
204800,0.25
212992,0.25
221184,0.25
229376,0.25
237568,0.25
245760,0.25
253952,0.25
262144,0.25
