Runtime:500490
Cache size,Miss Rate
8196,0.96946
10245,0.96183
12294,0.954151
16392,0.939308
32784,0.88287
34833,0.876179
36882,0.869629
40980,0.856827
49176,0.831318
65568,0.7841
131136,0.653725
